Date,Start_ET,"Visitor_Neutral",PTS_V,"Home_Neutral",PTS_H,Score_Type,Rating,Attend,LOG,Arena,Notes
Tue Oct 22 2024,7:30p,New York Knicks,109,Boston Celtics,132,Box Score,,19156,2:04,TD Garden,
Tue Oct 22 2024,10:00p,Minnesota Timberwolves,103,Los Angeles Lakers,110,Box Score,,18997,2:26,Crypto.com Arena,
